Abbreviation,TeamName,GridPosition,Position,Status,RaceName,RoundNumber,Year
NOR,McLaren,1.0,1.0,Finished,Singapore Grand Prix,18,2024
VER,Red Bull Racing,2.0,2.0,Finished,Singapore Grand Prix,18,2024
PIA,McLaren,5.0,3.0,Finished,Singapore Grand Prix,18,2024
RUS,Mercedes,4.0,4.0,Finished,Singapore Grand Prix,18,2024
LEC,Ferrari,9.0,5.0,Finished,Singapore Grand Prix,18,2024
HAM,Mercedes,3.0,6.0,Finished,Singapore Grand Prix,18,2024
SAI,Ferrari,10.0,7.0,Finished,Singapore Grand Prix,18,2024
ALO,Aston Martin,7.0,8.0,Lapped,Singapore Grand Prix,18,2024
HUL,Haas F1 Team,6.0,9.0,Lapped,Singapore Grand Prix,18,2024
PER,Red Bull Racing,13.0,10.0,Lapped,Singapore Grand Prix,18,2024
COL,Williams,12.0,11.0,Lapped,Singapore Grand Prix,18,2024
TSU,RB,8.0,12.0,Lapped,Singapore Grand Prix,18,2024
OCO,Alpine,15.0,13.0,Lapped,Singapore Grand Prix,18,2024
STR,Aston Martin,17.0,14.0,Lapped,Singapore Grand Prix,18,2024
ZHO,Kick Sauber,20.0,15.0,Lapped,Singapore Grand Prix,18,2024
BOT,Kick Sauber,19.0,16.0,Lapped,Singapore Grand Prix,18,2024
GAS,Alpine,18.0,17.0,Lapped,Singapore Grand Prix,18,2024
RIC,RB,16.0,18.0,Lapped,Singapore Grand Prix,18,2024
MAG,Haas F1 Team,14.0,19.0,Retired,Singapore Grand Prix,18,2024
ALB,Williams,11.0,20.0,Retired,Singapore Grand Prix,18,2024
LEC,Ferrari,4.0,1.0,Finished,United States Grand Prix,19,2024
SAI,Ferrari,3.0,2.0,Finished,United States Grand Prix,19,2024
VER,Red Bull Racing,2.0,3.0,Finished,United States Grand Prix,19,2024
NOR,McLaren,1.0,4.0,Finished,United States Grand Prix,19,2024
PIA,McLaren,5.0,5.0,Finished,United States Grand Prix,19,2024
RUS,Mercedes,20.0,6.0,Finished,United States Grand Prix,19,2024
PER,Red Bull Racing,9.0,7.0,Finished,United States Grand Prix,19,2024
HUL,Haas F1 Team,11.0,8.0,Finished,United States Grand Prix,19,2024
LAW,RB,19.0,9.0,Finished,United States Grand Prix,19,2024
COL,Williams,15.0,10.0,Finished,United States Grand Prix,19,2024
MAG,Haas F1 Team,8.0,11.0,Finished,United States Grand Prix,19,2024
GAS,Alpine,6.0,12.0,Finished,United States Grand Prix,19,2024
ALO,Aston Martin,7.0,13.0,Lapped,United States Grand Prix,19,2024
TSU,RB,10.0,14.0,Lapped,United States Grand Prix,19,2024
STR,Aston Martin,13.0,15.0,Lapped,United States Grand Prix,19,2024
ALB,Williams,14.0,16.0,Lapped,United States Grand Prix,19,2024
BOT,Kick Sauber,16.0,17.0,Lapped,United States Grand Prix,19,2024
OCO,Alpine,12.0,18.0,Lapped,United States Grand Prix,19,2024
ZHO,Kick Sauber,18.0,19.0,Lapped,United States Grand Prix,19,2024
HAM,Mercedes,17.0,20.0,Retired,United States Grand Prix,19,2024
SAI,Ferrari,1.0,1.0,Finished,Mexico City Grand Prix,20,2024
NOR,McLaren,3.0,2.0,Finished,Mexico City Grand Prix,20,2024
LEC,Ferrari,4.0,3.0,Finished,Mexico City Grand Prix,20,2024
HAM,Mercedes,6.0,4.0,Finished,Mexico City Grand Prix,20,2024
RUS,Mercedes,5.0,5.0,Finished,Mexico City Grand Prix,20,2024
VER,Red Bull Racing,2.0,6.0,Finished,Mexico City Grand Prix,20,2024
MAG,Haas F1 Team,7.0,7.0,Finished,Mexico City Grand Prix,20,2024
PIA,McLaren,17.0,8.0,Finished,Mexico City Grand Prix,20,2024
HUL,Haas F1 Team,10.0,9.0,Lapped,Mexico City Grand Prix,20,2024
GAS,Alpine,8.0,10.0,Lapped,Mexico City Grand Prix,20,2024
STR,Aston Martin,14.0,11.0,Lapped,Mexico City Grand Prix,20,2024
COL,Williams,16.0,12.0,Lapped,Mexico City Grand Prix,20,2024
OCO,Alpine,0.0,13.0,Lapped,Mexico City Grand Prix,20,2024
BOT,Kick Sauber,15.0,14.0,Lapped,Mexico City Grand Prix,20,2024
ZHO,Kick Sauber,19.0,15.0,Lapped,Mexico City Grand Prix,20,2024
LAW,RB,12.0,16.0,Lapped,Mexico City Grand Prix,20,2024
PER,Red Bull Racing,18.0,17.0,Lapped,Mexico City Grand Prix,20,2024
ALO,Aston Martin,13.0,18.0,Retired,Mexico City Grand Prix,20,2024
ALB,Williams,9.0,19.0,Retired,Mexico City Grand Prix,20,2024
TSU,RB,11.0,20.0,Retired,Mexico City Grand Prix,20,2024
VER,Red Bull Racing,17.0,1.0,Finished,São Paulo Grand Prix,21,2024
OCO,Alpine,4.0,2.0,Finished,São Paulo Grand Prix,21,2024
GAS,Alpine,13.0,3.0,Finished,São Paulo Grand Prix,21,2024
RUS,Mercedes,2.0,4.0,Finished,São Paulo Grand Prix,21,2024
LEC,Ferrari,6.0,5.0,Finished,São Paulo Grand Prix,21,2024
NOR,McLaren,1.0,6.0,Finished,São Paulo Grand Prix,21,2024
TSU,RB,3.0,7.0,Finished,São Paulo Grand Prix,21,2024
PIA,McLaren,8.0,8.0,Finished,São Paulo Grand Prix,21,2024
LAW,RB,5.0,9.0,Finished,São Paulo Grand Prix,21,2024
HAM,Mercedes,14.0,10.0,Finished,São Paulo Grand Prix,21,2024
PER,Red Bull Racing,12.0,11.0,Finished,São Paulo Grand Prix,21,2024
BEA,Haas F1 Team,15.0,12.0,Finished,São Paulo Grand Prix,21,2024
BOT,Kick Sauber,11.0,13.0,Finished,São Paulo Grand Prix,21,2024
ALO,Aston Martin,9.0,14.0,Finished,São Paulo Grand Prix,21,2024
ZHO,Kick Sauber,19.0,15.0,Finished,São Paulo Grand Prix,21,2024
SAI,Ferrari,20.0,16.0,Retired,São Paulo Grand Prix,21,2024
COL,Williams,16.0,17.0,Retired,São Paulo Grand Prix,21,2024
ALB,Williams,7.0,18.0,Did not start,São Paulo Grand Prix,21,2024
STR,Aston Martin,10.0,19.0,Did not start,São Paulo Grand Prix,21,2024
HUL,Haas F1 Team,18.0,20.0,Disqualified,São Paulo Grand Prix,21,2024
RUS,Mercedes,1.0,1.0,Finished,Las Vegas Grand Prix,22,2024
HAM,Mercedes,10.0,2.0,Finished,Las Vegas Grand Prix,22,2024
SAI,Ferrari,2.0,3.0,Finished,Las Vegas Grand Prix,22,2024
LEC,Ferrari,4.0,4.0,Finished,Las Vegas Grand Prix,22,2024
VER,Red Bull Racing,5.0,5.0,Finished,Las Vegas Grand Prix,22,2024
NOR,McLaren,6.0,6.0,Finished,Las Vegas Grand Prix,22,2024
PIA,McLaren,8.0,7.0,Finished,Las Vegas Grand Prix,22,2024
HUL,Haas F1 Team,9.0,8.0,Finished,Las Vegas Grand Prix,22,2024
TSU,RB,7.0,9.0,Finished,Las Vegas Grand Prix,22,2024
PER,Red Bull Racing,15.0,10.0,Finished,Las Vegas Grand Prix,22,2024
ALO,Aston Martin,16.0,11.0,Finished,Las Vegas Grand Prix,22,2024
MAG,Haas F1 Team,12.0,12.0,Finished,Las Vegas Grand Prix,22,2024
ZHO,Kick Sauber,13.0,13.0,Finished,Las Vegas Grand Prix,22,2024
COL,Williams,20.0,14.0,Finished,Las Vegas Grand Prix,22,2024
STR,Aston Martin,18.0,15.0,Finished,Las Vegas Grand Prix,22,2024
LAW,RB,14.0,16.0,Finished,Las Vegas Grand Prix,22,2024
OCO,Alpine,11.0,17.0,Lapped,Las Vegas Grand Prix,22,2024
BOT,Kick Sauber,19.0,18.0,Lapped,Las Vegas Grand Prix,22,2024
ALB,Williams,17.0,19.0,Retired,Las Vegas Grand Prix,22,2024
GAS,Alpine,3.0,20.0,Retired,Las Vegas Grand Prix,22,2024
VER,Red Bull Racing,2.0,1.0,Finished,Qatar Grand Prix,23,2024
LEC,Ferrari,5.0,2.0,Finished,Qatar Grand Prix,23,2024
PIA,McLaren,4.0,3.0,Finished,Qatar Grand Prix,23,2024
RUS,Mercedes,1.0,4.0,Finished,Qatar Grand Prix,23,2024
GAS,Alpine,11.0,5.0,Finished,Qatar Grand Prix,23,2024
SAI,Ferrari,7.0,6.0,Finished,Qatar Grand Prix,23,2024
ALO,Aston Martin,8.0,7.0,Finished,Qatar Grand Prix,23,2024
ZHO,Kick Sauber,12.0,8.0,Finished,Qatar Grand Prix,23,2024
MAG,Haas F1 Team,10.0,9.0,Finished,Qatar Grand Prix,23,2024
NOR,McLaren,3.0,10.0,Finished,Qatar Grand Prix,23,2024
BOT,Kick Sauber,13.0,11.0,Finished,Qatar Grand Prix,23,2024
HAM,Mercedes,6.0,12.0,Finished,Qatar Grand Prix,23,2024
TSU,RB,14.0,13.0,Finished,Qatar Grand Prix,23,2024
LAW,RB,17.0,14.0,Finished,Qatar Grand Prix,23,2024
ALB,Williams,16.0,15.0,Lapped,Qatar Grand Prix,23,2024
HUL,Haas F1 Team,18.0,16.0,Retired,Qatar Grand Prix,23,2024
PER,Red Bull Racing,9.0,17.0,Retired,Qatar Grand Prix,23,2024
STR,Aston Martin,15.0,18.0,Retired,Qatar Grand Prix,23,2024
COL,Williams,19.0,19.0,Retired,Qatar Grand Prix,23,2024
OCO,Alpine,20.0,20.0,Retired,Qatar Grand Prix,23,2024
NOR,McLaren,1.0,1.0,Finished,Abu Dhabi Grand Prix,24,2024
SAI,Ferrari,3.0,2.0,Finished,Abu Dhabi Grand Prix,24,2024
LEC,Ferrari,19.0,3.0,Finished,Abu Dhabi Grand Prix,24,2024
HAM,Mercedes,16.0,4.0,Finished,Abu Dhabi Grand Prix,24,2024
RUS,Mercedes,6.0,5.0,Finished,Abu Dhabi Grand Prix,24,2024
VER,Red Bull Racing,4.0,6.0,Finished,Abu Dhabi Grand Prix,24,2024
GAS,Alpine,5.0,7.0,Finished,Abu Dhabi Grand Prix,24,2024
HUL,Haas F1 Team,7.0,8.0,Finished,Abu Dhabi Grand Prix,24,2024
ALO,Aston Martin,8.0,9.0,Finished,Abu Dhabi Grand Prix,24,2024
PIA,McLaren,2.0,10.0,Finished,Abu Dhabi Grand Prix,24,2024
ALB,Williams,18.0,11.0,Lapped,Abu Dhabi Grand Prix,24,2024
TSU,RB,11.0,12.0,Lapped,Abu Dhabi Grand Prix,24,2024
ZHO,Kick Sauber,15.0,13.0,Lapped,Abu Dhabi Grand Prix,24,2024
STR,Aston Martin,13.0,14.0,Lapped,Abu Dhabi Grand Prix,24,2024
DOO,Alpine,17.0,15.0,Lapped,Abu Dhabi Grand Prix,24,2024
MAG,Haas F1 Team,14.0,16.0,Lapped,Abu Dhabi Grand Prix,24,2024
LAW,RB,12.0,17.0,Retired,Abu Dhabi Grand Prix,24,2024
BOT,Kick Sauber,9.0,18.0,Retired,Abu Dhabi Grand Prix,24,2024
COL,Williams,20.0,19.0,Retired,Abu Dhabi Grand Prix,24,2024
PER,Red Bull Racing,10.0,20.0,Retired,Abu Dhabi Grand Prix,24,2024
