Abbreviation,TeamName,GridPosition,Position,Status,RaceName,RoundNumber,Year
STR,Aston Martin,14.0,17.0,Finished,Azerbaijan Grand Prix,17,2025
GAS,Alpine,18.0,18.0,Lapped,Azerbaijan Grand Prix,17,2025
COL,Alpine,16.0,19.0,Lapped,Azerbaijan Grand Prix,17,2025
PIA,McLaren,9.0,20.0,Retired,Azerbaijan Grand Prix,17,2025
RUS,Mercedes,1.0,1.0,Finished,Singapore Grand Prix,18,2025
VER,Red Bull Racing,2.0,2.0,Finished,Singapore Grand Prix,18,2025
NOR,McLaren,5.0,3.0,Finished,Singapore Grand Prix,18,2025
PIA,McLaren,3.0,4.0,Finished,Singapore Grand Prix,18,2025
ANT,Mercedes,4.0,5.0,Finished,Singapore Grand Prix,18,2025
LEC,Ferrari,7.0,6.0,Finished,Singapore Grand Prix,18,2025
ALO,Aston Martin,10.0,7.0,Finished,Singapore Grand Prix,18,2025
HAM,Ferrari,6.0,8.0,Finished,Singapore Grand Prix,18,2025
BEA,Haas F1 Team,9.0,9.0,Finished,Singapore Grand Prix,18,2025
SAI,Williams,18.0,10.0,Lapped,Singapore Grand Prix,18,2025
HAD,Racing Bulls,8.0,11.0,Lapped,Singapore Grand Prix,18,2025
TSU,Red Bull Racing,13.0,12.0,Lapped,Singapore Grand Prix,18,2025
STR,Aston Martin,15.0,13.0,Lapped,Singapore Grand Prix,18,2025
ALB,Williams,20.0,14.0,Lapped,Singapore Grand Prix,18,2025
LAW,Racing Bulls,12.0,15.0,Lapped,Singapore Grand Prix,18,2025
COL,Alpine,16.0,16.0,Lapped,Singapore Grand Prix,18,2025
BOR,Kick Sauber,14.0,17.0,Lapped,Singapore Grand Prix,18,2025
OCO,Haas F1 Team,17.0,18.0,Lapped,Singapore Grand Prix,18,2025
GAS,Alpine,19.0,19.0,Lapped,Singapore Grand Prix,18,2025
HUL,Kick Sauber,11.0,20.0,Lapped,Singapore Grand Prix,18,2025
VER,Red Bull Racing,1.0,1.0,Finished,United States Grand Prix,19,2025
NOR,McLaren,2.0,2.0,Finished,United States Grand Prix,19,2025
LEC,Ferrari,3.0,3.0,Finished,United States Grand Prix,19,2025
HAM,Ferrari,5.0,4.0,Finished,United States Grand Prix,19,2025
PIA,McLaren,6.0,5.0,Finished,United States Grand Prix,19,2025
RUS,Mercedes,4.0,6.0,Finished,United States Grand Prix,19,2025
TSU,Red Bull Racing,13.0,7.0,Finished,United States Grand Prix,19,2025
HUL,Kick Sauber,11.0,8.0,Finished,United States Grand Prix,19,2025
BEA,Haas F1 Team,8.0,9.0,Finished,United States Grand Prix,19,2025
ALO,Aston Martin,10.0,10.0,Finished,United States Grand Prix,19,2025
LAW,Racing Bulls,12.0,11.0,Finished,United States Grand Prix,19,2025
STR,Aston Martin,19.0,12.0,Finished,United States Grand Prix,19,2025
ANT,Mercedes,7.0,13.0,Finished,United States Grand Prix,19,2025
ALB,Williams,18.0,14.0,Finished,United States Grand Prix,19,2025
OCO,Haas F1 Team,17.0,15.0,Finished,United States Grand Prix,19,2025
HAD,Racing Bulls,20.0,16.0,Finished,United States Grand Prix,19,2025
COL,Alpine,15.0,17.0,Lapped,United States Grand Prix,19,2025
BOR,Kick Sauber,16.0,18.0,Lapped,United States Grand Prix,19,2025
GAS,Alpine,14.0,19.0,Lapped,United States Grand Prix,19,2025
SAI,Williams,9.0,20.0,Retired,United States Grand Prix,19,2025
NOR,McLaren,1.0,1.0,Finished,Mexico City Grand Prix,20,2025
LEC,Ferrari,2.0,2.0,Finished,Mexico City Grand Prix,20,2025
VER,Red Bull Racing,5.0,3.0,Finished,Mexico City Grand Prix,20,2025
BEA,Haas F1 Team,9.0,4.0,Finished,Mexico City Grand Prix,20,2025
PIA,McLaren,7.0,5.0,Finished,Mexico City Grand Prix,20,2025
ANT,Mercedes,6.0,6.0,Finished,Mexico City Grand Prix,20,2025
RUS,Mercedes,4.0,7.0,Finished,Mexico City Grand Prix,20,2025
HAM,Ferrari,3.0,8.0,Finished,Mexico City Grand Prix,20,2025
OCO,Haas F1 Team,11.0,9.0,Finished,Mexico City Grand Prix,20,2025
BOR,Kick Sauber,16.0,10.0,Finished,Mexico City Grand Prix,20,2025
TSU,Red Bull Racing,10.0,11.0,Finished,Mexico City Grand Prix,20,2025
ALB,Williams,17.0,12.0,Lapped,Mexico City Grand Prix,20,2025
HAD,Racing Bulls,8.0,13.0,Lapped,Mexico City Grand Prix,20,2025
STR,Aston Martin,19.0,14.0,Lapped,Mexico City Grand Prix,20,2025
GAS,Alpine,18.0,15.0,Lapped,Mexico City Grand Prix,20,2025
COL,Alpine,20.0,16.0,Lapped,Mexico City Grand Prix,20,2025
SAI,Williams,12.0,17.0,Retired,Mexico City Grand Prix,20,2025
ALO,Aston Martin,14.0,18.0,Retired,Mexico City Grand Prix,20,2025
HUL,Kick Sauber,13.0,19.0,Retired,Mexico City Grand Prix,20,2025
LAW,Racing Bulls,15.0,20.0,Retired,Mexico City Grand Prix,20,2025
NOR,McLaren,1.0,1.0,Finished,São Paulo Grand Prix,21,2025
ANT,Mercedes,2.0,2.0,Finished,São Paulo Grand Prix,21,2025
VER,Red Bull Racing,19.0,3.0,Finished,São Paulo Grand Prix,21,2025
RUS,Mercedes,6.0,4.0,Finished,São Paulo Grand Prix,21,2025
PIA,McLaren,4.0,5.0,Finished,São Paulo Grand Prix,21,2025
BEA,Haas F1 Team,8.0,6.0,Finished,São Paulo Grand Prix,21,2025
LAW,Racing Bulls,7.0,7.0,Finished,São Paulo Grand Prix,21,2025
HAD,Racing Bulls,5.0,8.0,Finished,São Paulo Grand Prix,21,2025
HUL,Kick Sauber,10.0,9.0,Finished,São Paulo Grand Prix,21,2025
GAS,Alpine,9.0,10.0,Finished,São Paulo Grand Prix,21,2025
ALB,Williams,12.0,11.0,Finished,São Paulo Grand Prix,21,2025
OCO,Haas F1 Team,20.0,12.0,Finished,São Paulo Grand Prix,21,2025
SAI,Williams,15.0,13.0,Finished,São Paulo Grand Prix,21,2025
ALO,Aston Martin,11.0,14.0,Finished,São Paulo Grand Prix,21,2025
COL,Alpine,16.0,15.0,Finished,São Paulo Grand Prix,21,2025
STR,Aston Martin,14.0,16.0,Finished,São Paulo Grand Prix,21,2025
TSU,Red Bull Racing,17.0,17.0,Finished,São Paulo Grand Prix,21,2025
HAM,Ferrari,13.0,18.0,Retired,São Paulo Grand Prix,21,2025
LEC,Ferrari,3.0,19.0,Retired,São Paulo Grand Prix,21,2025
BOR,Kick Sauber,18.0,20.0,Retired,São Paulo Grand Prix,21,2025
VER,Red Bull Racing,2.0,1.0,Finished,Las Vegas Grand Prix,22,2025
RUS,Mercedes,4.0,2.0,Finished,Las Vegas Grand Prix,22,2025
ANT,Mercedes,17.0,3.0,Finished,Las Vegas Grand Prix,22,2025
LEC,Ferrari,9.0,4.0,Finished,Las Vegas Grand Prix,22,2025
SAI,Williams,3.0,5.0,Finished,Las Vegas Grand Prix,22,2025
HAD,Racing Bulls,8.0,6.0,Finished,Las Vegas Grand Prix,22,2025
HUL,Kick Sauber,11.0,7.0,Finished,Las Vegas Grand Prix,22,2025
HAM,Ferrari,19.0,8.0,Finished,Las Vegas Grand Prix,22,2025
OCO,Haas F1 Team,13.0,9.0,Finished,Las Vegas Grand Prix,22,2025
BEA,Haas F1 Team,14.0,10.0,Finished,Las Vegas Grand Prix,22,2025
ALO,Aston Martin,7.0,11.0,Finished,Las Vegas Grand Prix,22,2025
TSU,Red Bull Racing,20.0,12.0,Finished,Las Vegas Grand Prix,22,2025
GAS,Alpine,10.0,13.0,Finished,Las Vegas Grand Prix,22,2025
LAW,Racing Bulls,6.0,14.0,Lapped,Las Vegas Grand Prix,22,2025
COL,Alpine,15.0,15.0,Lapped,Las Vegas Grand Prix,22,2025
ALB,Williams,16.0,16.0,Retired,Las Vegas Grand Prix,22,2025
BOR,Kick Sauber,18.0,17.0,Retired,Las Vegas Grand Prix,22,2025
STR,Aston Martin,12.0,18.0,Retired,Las Vegas Grand Prix,22,2025
NOR,McLaren,1.0,19.0,Disqualified,Las Vegas Grand Prix,22,2025
PIA,McLaren,5.0,20.0,Disqualified,Las Vegas Grand Prix,22,2025
VER,Red Bull Racing,3.0,1.0,Finished,Qatar Grand Prix,23,2025
PIA,McLaren,1.0,2.0,Finished,Qatar Grand Prix,23,2025
SAI,Williams,7.0,3.0,Finished,Qatar Grand Prix,23,2025
NOR,McLaren,2.0,4.0,Finished,Qatar Grand Prix,23,2025
ANT,Mercedes,5.0,5.0,Finished,Qatar Grand Prix,23,2025
RUS,Mercedes,4.0,6.0,Finished,Qatar Grand Prix,23,2025
ALO,Aston Martin,8.0,7.0,Finished,Qatar Grand Prix,23,2025
LEC,Ferrari,10.0,8.0,Finished,Qatar Grand Prix,23,2025
LAW,Racing Bulls,12.0,9.0,Finished,Qatar Grand Prix,23,2025
TSU,Red Bull Racing,15.0,10.0,Finished,Qatar Grand Prix,23,2025
ALB,Williams,14.0,11.0,Finished,Qatar Grand Prix,23,2025
HAM,Ferrari,17.0,12.0,Finished,Qatar Grand Prix,23,2025
BOR,Kick Sauber,19.0,13.0,Finished,Qatar Grand Prix,23,2025
COL,Alpine,20.0,14.0,Lapped,Qatar Grand Prix,23,2025
OCO,Haas F1 Team,16.0,15.0,Lapped,Qatar Grand Prix,23,2025
GAS,Alpine,9.0,16.0,Lapped,Qatar Grand Prix,23,2025
STR,Aston Martin,18.0,17.0,Retired,Qatar Grand Prix,23,2025
HAD,Racing Bulls,6.0,18.0,Retired,Qatar Grand Prix,23,2025
BEA,Haas F1 Team,13.0,19.0,Retired,Qatar Grand Prix,23,2025
HUL,Kick Sauber,11.0,20.0,Retired,Qatar Grand Prix,23,2025
VER,Red Bull Racing,1.0,1.0,Finished,Abu Dhabi Grand Prix,24,2025
PIA,McLaren,3.0,2.0,Finished,Abu Dhabi Grand Prix,24,2025
NOR,McLaren,2.0,3.0,Finished,Abu Dhabi Grand Prix,24,2025
LEC,Ferrari,5.0,4.0,Finished,Abu Dhabi Grand Prix,24,2025
RUS,Mercedes,4.0,5.0,Finished,Abu Dhabi Grand Prix,24,2025
ALO,Aston Martin,6.0,6.0,Finished,Abu Dhabi Grand Prix,24,2025
OCO,Haas F1 Team,8.0,7.0,Finished,Abu Dhabi Grand Prix,24,2025
HAM,Ferrari,16.0,8.0,Finished,Abu Dhabi Grand Prix,24,2025
HUL,Kick Sauber,18.0,9.0,Finished,Abu Dhabi Grand Prix,24,2025
STR,Aston Martin,15.0,10.0,Finished,Abu Dhabi Grand Prix,24,2025
BOR,Kick Sauber,7.0,11.0,Finished,Abu Dhabi Grand Prix,24,2025
BEA,Haas F1 Team,11.0,12.0,Finished,Abu Dhabi Grand Prix,24,2025
SAI,Williams,12.0,13.0,Finished,Abu Dhabi Grand Prix,24,2025
TSU,Red Bull Racing,10.0,14.0,Finished,Abu Dhabi Grand Prix,24,2025
ANT,Mercedes,14.0,15.0,Finished,Abu Dhabi Grand Prix,24,2025
ALB,Williams,17.0,16.0,Finished,Abu Dhabi Grand Prix,24,2025
HAD,Racing Bulls,9.0,17.0,Lapped,Abu Dhabi Grand Prix,24,2025
LAW,Racing Bulls,13.0,18.0,Lapped,Abu Dhabi Grand Prix,24,2025
GAS,Alpine,19.0,19.0,Lapped,Abu Dhabi Grand Prix,24,2025
COL,Alpine,20.0,20.0,Lapped,Abu Dhabi Grand Prix,24,2025
